Atlas	Labels
1,	0
1,	1171
1,	171
1,	731
1,	221
1,	341
1,	31
1,	41
1,	491
1,	681
1,	691
1,	211
1,	501
1,	701
1,	71
1,	81
1,	91
1,	101
1,	151
1,	371
1,	471
1,	741
1,	11
1,	21
1,	121
1,	451
1,	111
1,	161
1,	361
1,	461
1,	511
1,	711
1,	141
1,	251
1,	261
1,	271
1,	301
1,	421
1,	431
1,	441
1,	281
1,	311
1,	381
1,	391
1,	401
1,	651
1,	661
1,	671
1,	521
1,	531
1,	541
1,	551
1,	561
1,	571
1,	581
1,	591
1,	601
1,	611
1,	721
1,	131
1,	201
1,	771
1,	291
1,	321
1,	331
1,	621
1,	631
1,	641
1,	61
1,	231
1,	411
1,	481
1,	971
1,	1061
1,	51
1,	241
1,	751
1,	761
1,	181
1,	191
1,	351
1,	801
1,	811
1,	1091
1,	821
1,	841
1,	851
1,	921
1,	1181
1,	1041
1,	1101
1,	1161
1,	991
1,	1001
1,	1011
1,	1051
1,	781
1,	941
1,	961
1,	951
1,	981
1,	1021
1,	1071
1,	1111
1,	1131
1,	1141
1,	1151
1,	891
1,	911
1,	931
1,	831
1,	871
1,	881
1,	901
1,	1081
1,	791
1,	1121
1,	1031
1,	1172
1,	172
1,	732
1,	222
1,	342
1,	32
1,	42
1,	492
1,	682
1,	692
1,	212
1,	502
1,	702
1,	72
1,	82
1,	92
1,	102
1,	152
1,	372
1,	472
1,	742
1,	12
1,	22
1,	122
1,	452
1,	112
1,	162
1,	362
1,	462
1,	512
1,	712
1,	142
1,	252
1,	262
1,	272
1,	302
1,	422
1,	432
1,	442
1,	282
1,	312
1,	382
1,	392
1,	402
1,	652
1,	662
1,	672
1,	522
1,	532
1,	542
1,	552
1,	562
1,	572
1,	582
1,	592
1,	602
1,	612
1,	722
1,	132
1,	202
1,	772
1,	292
1,	322
1,	332
1,	622
1,	632
1,	642
1,	62
1,	232
1,	412
1,	482
1,	972
1,	1062
1,	52
1,	242
1,	752
1,	762
1,	182
1,	192
1,	352
1,	802
1,	812
1,	1092
1,	822
1,	842
1,	852
1,	922
1,	1182
1,	1042
1,	1102
1,	1162
1,	992
1,	1002
1,	1012
1,	1052
1,	782
1,	942
1,	962
1,	952
1,	982
1,	1022
1,	1072
1,	1112
1,	1132
1,	1142
1,	1152
1,	892
1,	912
1,	932
1,	832
1,	872
1,	882
1,	902
1,	1082
1,	792
1,	1122
1,	1032
