Atlas	Labels
1,	22
1,	31
1,	44
1,	95
1,	184
1,	247
1,	254
1,	275
1,	278
1,	313
1,	329
1,	337
1,	345
1,	353
1,	354
1,	361
1,	369
1,	378
1,	485
1,	493
1,	519
1,	528
1,	541
1,	583
1,	669
1,	677
1,	698
1,	703
1,	714
1,	771
1,	776
1,	784
1,	803
1,	822
1,	856
1,	864
1,	895
1,	896
1,	922
1,	967
1,	972
1,	985
1,	991
1,	993
1,	1000
1,	1057
1,	1080
1,	1097
1,	1098
1,	2022
1,	2031
1,	2044
1,	2095
1,	2184
1,	2247
1,	2254
1,	2275
1,	2278
1,	2313
1,	2329
1,	2337
1,	2345
1,	2353
1,	2354
1,	2361
1,	2369
1,	2378
1,	2485
1,	2493
1,	2519
1,	2528
1,	2541
1,	2583
1,	2669
1,	2677
1,	2698
1,	2703
1,	2714
1,	2771
1,	2776
1,	2784
1,	2803
1,	2822
1,	2856
1,	2864
1,	2895
1,	2896
1,	2922
1,	2967
1,	2972
1,	2985
1,	2991
1,	2993
1,	3000
1,	3057
1,	3080
1,	3097
1,	3098
