id,atlas_id,ontology_id,acronym,name,parent_structure_id
22,285,1,PTLp,Posterior parietal association areas,315
31,3,1,ACA,Anterior cingulate area,3
44,146,1,ILA,Infralimbic area,315
95,11,1,AI,Agranular insular area,315
184,871,1,FRP,"Frontal pole, cerebral cortex",315
247,30,1,AUD,Auditory areas,3
254,314,1,RSP,Retrosplenial area,3
275,175,1,LSX,Lateral septal complex,477
278,317,1,sAMY,Striatum-like amygdalar nuclei,477
313,180,1,MB,Midbrain,343
329,748,1,SSp-bfd,"Primary somatosensory area, barrel field",3
337,749,1,SSp-ll,"Primary somatosensory area, lower limb",3
345,750,1,SSp-m,"Primary somatosensory area, mouth",3
353,751,1,SSp-n,"Primary somatosensory area, nose",3
354,185,1,MY,Medulla,1065
361,752,1,SSp-tr,"Primary somatosensory area, trunk",3
369,753,1,SSp-ul,"Primary somatosensory area, upper limb",3
378,754,1,SSs,Supplemental somatosensory area,453
485,343,1,STRd,Striatum dorsal region,3
493,344,1,STRv,Striatum ventral region,477
519,64,1,CBN,Cerebellar nuclei,512
528,65,1,CBX,Cerebellar cortex,512
541,350,1,TEa,Temporal association areas,315
583,72,1,CLA,Claustrum,3
669,366,1,VIS,Visual areas,315
677,367,1,VISC,Visceral area,315
698,228,1,OLF,Olfactory areas,695
703,87,1,CTXsp,Cortical subplate,688
714,230,1,ORB,Orbital area,315
771,237,1,P,Pons,1065
776,662,1,cc,Corpus callosum,3
784,663,1,cst,Corticospinal tract,3
803,241,1,PAL,Pallidum,623
822,385,1,RHP,Retrohippocampal region,1089
856,106,1,DORpm,"Thalamus, polymodal association cortex related",3
864,107,1,DORsm,"Thalamus, sensory-motor cortex related",3
895,111,1,ECT,Ectorhinal area,315
896,677,1,lfbst,Thalamus related,3
922,256,1,PERI,Perirhinal area,315
967,686,1,cm,Cranial nerves,3
972,262,1,PL,Prelimbic area,315
985,830,1,MOp,Primary motor area,500
991,689,1,mfbs,Medial forebrain bundle system,3
993,831,1,MOs,Secondary motor area,500
1000,690,1,eps,Extrapyramidal fiber systems,3
1057,131,1,GU,Gustatory areas,315
1080,134,1,HIP,Hippocampal region,3
1097,136,1,HY,Hypothalamus,1129
1098,null,1,SSp-un,"Primary somatosensory area, unassigned",3
